Zip	City	State	Region	District	Latitude (State Centre)	Lonitude (State Centre)2
15201	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15202	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15203	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15204	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15205	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15206	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15207	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15208	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15209	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15210	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15211	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15212	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15213	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15214	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15215	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15216	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15217	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15218	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15219	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15220	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15221	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15222	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15223	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15224	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15225	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15226	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15227	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15228	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15229	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15230	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15231	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15232	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15233	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15234	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15235	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15236	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15237	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15238	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15239	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15240	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15241	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15242	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15243	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15244	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15250	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15251	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15252	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15253	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15254	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15255	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15257	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15258	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15259	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15260	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15261	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15262	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15264	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15265	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15267	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15268	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15270	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15272	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15274	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15275	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15276	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15277	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15278	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15279	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15281	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15282	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15283	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15286	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15289	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15290	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15295	Pittsburgh, PA	PA	East	District #13	40.820048	-77.61733413
15937	Jerome, PA	PA	East	District #13	40.820048	-77.61733413
15938	Lilly, PA	PA	East	District #13	40.820048	-77.61733413
15940	Loretto, PA	PA	East	District #13	40.820048	-77.61733413
15942	Mineral Point, PA	PA	East	District #13	40.820048	-77.61733413
15943	Nanty Glo, PA	PA	East	District #13	40.820048	-77.61733413
15944	New Florence, PA	PA	East	District #13	40.820048	-77.61733413
15945	Parkhill, PA	PA	East	District #13	40.820048	-77.61733413
15946	Portage, PA	PA	East	District #13	40.820048	-77.61733413
15948	Revloc, PA	PA	East	District #13	40.820048	-77.61733413
15949	Robinson, PA	PA	East	District #13	40.820048	-77.61733413
15951	Saint Michael, PA	PA	East	District #13	40.820048	-77.61733413
15952	Salix, PA	PA	East	District #13	40.820048	-77.61733413
15953	Seanor, PA	PA	East	District #13	40.820048	-77.61733413
15954	Seward, PA	PA	East	District #13	40.820048	-77.61733413
15955	Sidman, PA	PA	East	District #13	40.820048	-77.61733413
15956	South Fork, PA	PA	East	District #13	40.820048	-77.61733413
15957	Strongstown, PA	PA	East	District #13	40.820048	-77.61733413
15958	Summerhill, PA	PA	East	District #13	40.820048	-77.61733413
15959	Tire Hill, PA	PA	East	District #13	40.820048	-77.61733413
15960	Twin Rocks, PA	PA	East	District #13	40.820048	-77.61733413
15961	Vintondale, PA	PA	East	District #13	40.820048	-77.61733413
15962	Wilmore, PA	PA	East	District #13	40.820048	-77.61733413
15963	Windber, PA	PA	East	District #13	40.820048	-77.61733413
16001	Butler, PA	PA	East	District #13	40.820048	-77.61733413
16002	Butler, PA	PA	East	District #13	40.820048	-77.61733413
16003	Butler, PA	PA	East	District #13	40.820048	-77.61733413
16016	Boyers, PA	PA	East	District #13	40.820048	-77.61733413
16017	Boyers, PA	PA	East	District #13	40.820048	-77.61733413
16018	Boyers, PA	PA	East	District #13	40.820048	-77.61733413
16020	Boyers, PA	PA	East	District #13	40.820048	-77.61733413
16021	Branchton, PA	PA	East	District #13	40.820048	-77.61733413
16022	Bruin, PA	PA	East	District #13	40.820048	-77.61733413
16023	Cabot, PA	PA	East	District #13	40.820048	-77.61733413
16024	Callery, PA	PA	East	District #13	40.820048	-77.61733413
16025	Chicora, PA	PA	East	District #13	40.820048	-77.61733413
16027	Connoquenessing, PA	PA	East	District #13	40.820048	-77.61733413
16028	East Brady, PA	PA	East	District #13	40.820048	-77.61733413
16029	East Butler, PA	PA	East	District #13	40.820048	-77.61733413
16030	Eau Claire, PA	PA	East	District #13	40.820048	-77.61733413
16033	Evans City, PA	PA	East	District #13	40.820048	-77.61733413
16034	Fenelton, PA	PA	East	District #13	40.820048	-77.61733413
16035	Forestville, PA	PA	East	District #13	40.820048	-77.61733413
16036	Foxburg, PA	PA	East	District #13	40.820048	-77.61733413
16037	Harmony, PA	PA	East	District #13	40.820048	-77.61733413
16038	Harrisville, PA	PA	East	District #13	40.820048	-77.61733413
16039	Herman, PA	PA	East	District #13	40.820048	-77.61733413
16040	Hilliards, PA	PA	East	District #13	40.820048	-77.61733413
16041	Karns City, PA	PA	East	District #13	40.820048	-77.61733413
16045	Lyndora, PA	PA	East	District #13	40.820048	-77.61733413
16046	Mars, PA	PA	East	District #13	40.820048	-77.61733413
16048	North Washington, PA	PA	East	District #13	40.820048	-77.61733413
16049	Parker, PA	PA	East	District #13	40.820048	-77.61733413
16050	Petrolia, PA	PA	East	District #13	40.820048	-77.61733413
16051	Portersville, PA	PA	East	District #13	40.820048	-77.61733413
16052	Prospect, PA	PA	East	District #13	40.820048	-77.61733413
16053	Renfrew, PA	PA	East	District #13	40.820048	-77.61733413
16054	Saint Petersburg, PA	PA	East	District #13	40.820048	-77.61733413
16055	Sarver, PA	PA	East	District #13	40.820048	-77.61733413
16056	Saxonburg, PA	PA	East	District #13	40.820048	-77.61733413
16057	Slippery Rock, PA	PA	East	District #13	40.820048	-77.61733413
16058	Turkey City, PA	PA	East	District #13	40.820048	-77.61733413
16059	Valencia, PA	PA	East	District #13	40.820048	-77.61733413
16061	West Sunbury, PA	PA	East	District #13	40.820048	-77.61733413
16063	Zelienople, PA	PA	East	District #13	40.820048	-77.61733413
16066	Cranberry Township, PA	PA	East	District #13	40.820048	-77.61733413
16101	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16102	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16103	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16105	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16107	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16108	New Castle, PA	PA	East	District #13	40.820048	-77.61733413
16110	Adamsville, PA	PA	East	District #13	40.820048	-77.61733413
16111	Atlantic, PA	PA	East	District #13	40.820048	-77.61733413
16112	Bessemer, PA	PA	East	District #13	40.820048	-77.61733413
16115	Darlington, PA	PA	East	District #13	40.820048	-77.61733413
16116	Edinburg, PA	PA	East	District #13	40.820048	-77.61733413
16117	Ellwood City, PA	PA	East	District #13	40.820048	-77.61733413
16120	Enon Valley, PA	PA	East	District #13	40.820048	-77.61733413
16123	Fombell, PA	PA	East	District #13	40.820048	-77.61733413
16130	Hadley, PA	PA	East	District #13	40.820048	-77.61733413
16131	Hartstown, PA	PA	East	District #13	40.820048	-77.61733413
16132	Hillsville, PA	PA	East	District #13	40.820048	-77.61733413
16134	Jamestown, PA	PA	East	District #13	40.820048	-77.61733413
16136	Koppel, PA	PA	East	District #13	40.820048	-77.61733413
16140	New Bedford, PA	PA	East	District #13	40.820048	-77.61733413
16141	New Galilee, PA	PA	East	District #13	40.820048	-77.61733413
16142	New Wilmington, PA	PA	East	District #13	40.820048	-77.61733413
16143	Pulaski, PA	PA	East	District #13	40.820048	-77.61733413
16151	Sheakleyville, PA	PA	East	District #13	40.820048	-77.61733413
16155	Villa Maria, PA	PA	East	District #13	40.820048	-77.61733413
16156	Volant, PA	PA	East	District #13	40.820048	-77.61733413
16157	Wampum, PA	PA	East	District #13	40.820048	-77.61733413
16160	West Pittsburg, PA	PA	East	District #13	40.820048	-77.61733413
16172	New Wilmington, PA	PA	East	District #13	40.820048	-77.61733413
16201	Kittanning, PA	PA	East	District #13	40.820048	-77.61733413
16210	Adrian, PA	PA	East	District #13	40.820048	-77.61733413
16211	Beyer, PA	PA	East	District #13	40.820048	-77.61733413
16212	Cadogan, PA	PA	East	District #13	40.820048	-77.61733413
16213	Callensburg, PA	PA	East	District #13	40.820048	-77.61733413
16214	Clarion, PA	PA	East	District #13	40.820048	-77.61733413
16217	Cooksburg, PA	PA	East	District #13	40.820048	-77.61733413
16218	Cowansville, PA	PA	East	District #13	40.820048	-77.61733413
16220	Crown, PA	PA	East	District #13	40.820048	-77.61733413
16221	Curllsville, PA	PA	East	District #13	40.820048	-77.61733413
16222	Dayton, PA	PA	East	District #13	40.820048	-77.61733413
16223	Distant, PA	PA	East	District #13	40.820048	-77.61733413
16224	Fairmount City, PA	PA	East	District #13	40.820048	-77.61733413
16225	Fisher, PA	PA	East	District #13	40.820048	-77.61733413
16226	Ford City, PA	PA	East	District #13	40.820048	-77.61733413
16228	Ford Cliff, PA	PA	East	District #13	40.820048	-77.61733413
16229	Freeport, PA	PA	East	District #13	40.820048	-77.61733413
16230	Hawthorn, PA	PA	East	District #13	40.820048	-77.61733413
16232	Knox, PA	PA	East	District #13	40.820048	-77.61733413
16233	Leeper, PA	PA	East	District #13	40.820048	-77.61733413
16234	Limestone, PA	PA	East	District #13	40.820048	-77.61733413
16235	Lucinda, PA	PA	East	District #13	40.820048	-77.61733413
16236	Mc Grann, PA	PA	East	District #13	40.820048	-77.61733413
16238	Manorville, PA	PA	East	District #13	40.820048	-77.61733413
